id_survey,date_of_survey,ticket_system,customer_service,value_for_money,overall_text,cleaned_text,sentiment,likelihood_to_recommend,nps_category,ease_of_use,overall_rating,csat_category
T_04377,2024-12-24,Zoho Desk,5.0,5.0,Pros:I use this software to notify the clients about any changes in the business such as discounts offer and promotions but also handling client is complaints by giving them feedback through the service.,pros i use this software tapi notify the clients about any changes ini the business such as discounts offer and promotions but also handling client is complaints by giving them feedback through the service,Netral,10.0,Promoter,5.0,5.0,Satisfied
T_03547,2024-12-12,Zendesk,2.0,5.0,"Zendesk has been helpful for us to help collect our emails, form captures and calls. Sort them within a ticketing system, and prioritize the tickets as needed. And send them to the person who will reply. Not having someone who has to answer the phone, and then pass that message to the appropriate person is a big help for us.",zendesk has been helpful for us tapi help collect our emails form captures and calls sort them within a ticketing system and prioritize the tickets as needed and send them tapi the person who will reply not having someone who has tapi answer the phone and then pas that message tapi the appropriate person is a big help for us,Positif,7.0,Passive,4.0,4.0,Satisfied
T_01070,2024-10-28,Freshdesk,4.0,4.0,"It has been an easy experience to learn the system, especially as the administrator role and setting everything up.",itu has been an easy experience tapi learn the system especially as the administrator role and setting everything up,Positif,8.0,Passive,4.0,5.0,Satisfied
T_03226,2024-12-08,Zendesk,5.0,4.0,"Pros:you can manage multiple support areas, with multiple service teams without problems, it is easy to understand and use, the interface is light and very functional, excellent integration with social networks and other platforms (like Wordpress), it is extremely easy to track the behavior of a ticket, the dashboard is very very explicit. Excellent..!",pros you can manage multiple support areas with multiple service teams without problems itu is easy tapi understand and use the interface is light and very functional excellent integration with social networks and other platforms like wordpress itu is extremely easy tapi track the behavior of a ticket the dashboard is very very explicit excellent,Positif,8.0,Passive,4.0,4.0,Satisfied
T_02266,2024-11-23,Zoho Desk,3.0,5.0,Logging and reporting of user support requests.,logging and reporting of user support requests,Netral,9.0,Promoter,5.0,5.0,Satisfied
T_02251,2024-11-22,Zendesk,1.0,2.0,"If you use all Zendesk Suite, Chat it's a great add-on, and it's cost per agent it is fair enough when compared to all the metrics you can gather.",if you use all zendesk suite chat itu sih a great ada on and itu sih cost per agent itu is fair enough when compared tapi all the metrics you can gather,Positif,4.0,Detractor,3.0,3.0,Neutral
T_01992,2024-11-17,Freshdesk,4.0,4.0,"We implemented Freshdesk to manage IT Support without spending months in designing forms and workflows, focusing more on what instead of how, in fact the deployment of the solution (at least for basic configuration) is really straightforward.",we implemented freshdesk tapi manage itu support without spending months ini designing forms and workflows focusing more on what instead of how ini fact the deployment of the solution at least for basic configuration is really straightforward,Netral,7.0,Passive,4.0,4.0,Satisfied
T_02414,2024-11-26,Zoho Desk,4.0,5.0,Zoho Desk is great being part of Zoho One if you can subscribe to this all in one application as it seamlessly integrates with Zoho CRM and the other tools. I highly recommend.,zoho desk is great being part of zoho one if you can subscribe tapi this all ini one application as itu seamlessly integrates with zoho crm and the other tools i highly recommend,Positif,9.0,Promoter,5.0,5.0,Satisfied
T_02210,2024-11-22,Zoho Desk,2.0,5.0,"Zoho Desk is a comprehensive customer support and help desk solution that offers a range of features to help businesses manage and respond to customer support tickets. Its multichannel support, automation, collaboration, analytics, and customization tools make it a great option for businesses of all sizes looking to improve their customer support operations.",zoho desk is a comprehensive customer support and help desk solution that offers a range of features tapi help businesses manage and respond tapi customer support tickets its multichannel support automation collaboration analytics and customization tools pakai itu a great option for businesses of all sizes looking tapi improve their customer support operations,Positif,7.0,Passive,4.0,5.0,Satisfied
T_04197,2024-12-21,Zendesk,3.0,3.0,"Pros:Zendesk Suite provides an user-friendly interface, you can easily get in contact with the customers/users through support tickets, the system organization is pretty neat as you can establish which member of the support team gets assigned the tickets.",pros zendesk suite provides an user friendly interface you can easily get ini contact with the customers users through support tickets the system organization is pretty neat as you can establish which member of the support team gets assigned the tickets,Positif,7.0,Passive,5.0,4.0,Satisfied
T_01734,2024-11-12,Freshdesk,4.0,5.0,It keeps us organized and makes our support of our product into a ticketing system.We know who has responsded and what is still open.It's a must have for our organization.,itu keeps us organized and makes our support of our product into a ticketing system we know who has responsded and what is still open itu sih a must have for our organization,Netral,9.0,Promoter,5.0,5.0,Satisfied
T_02906,2024-12-04,Freshdesk,3.0,4.0,"basic help desk functions like customer service, ticket tracking, logging calls etc.",basic help desk functions like customer service ticket tracking logging calls etc,Netral,7.0,Passive,4.0,5.0,Satisfied
T_03877,2024-12-17,Zoho Desk,4.0,4.0,"I have been one of the decision maker in my previous company to decide buying Zoho Desk after our trial period, because of its clean interface and facility to be used to everyone including those without experience in team work organization online.",i have been one of the decision maker ini my previous company tapi decide buying zoho desk after our trial period because of its clean interface and facility tapi be used tapi everyone including those without experience ini team work organization online,Netral,10.0,Promoter,5.0,5.0,Satisfied
T_02213,2024-11-22,Zoho Desk,3.0,5.0,Es la mejor herramienta de servicio al cliente y manejo de oportunidades para cerrar negocios,es lah mejor herramienta deh servicio al cliente ya manejo deh oportunidades para cerrar negocios,Netral,9.0,Promoter,5.0,5.0,Satisfied
T_03075,2024-12-06,Zendesk,5.0,5.0,"En general me he sentido comodo usando zendesk para interactuar con mis clientes externos e internos, realizando soporte al cliente.",en general me he sentido comodo usando zendesk para interactuar con mis clientes externos e internos realizando soporte al cliente,Netral,10.0,Promoter,5.0,5.0,Satisfied
T_02083,2024-11-18,Jira Service Management,2.0,5.0,"Pros:Flexibility, powerful features, smooth operation and overall the product works as designed.Enables large scale issue handling.",pros flexibility powerful features smooth operation and overall the product works as designed enables large scale issue handling,Netral,9.0,Promoter,4.0,4.0,Satisfied
T_01892,2024-11-15,Zendesk,4.0,4.0,"Overall, Zendesk is an indispensable part of our company. It has increased our productivity and customer satisfaction.",overall zendesk is an indispensable part of our company itu has increased our productivity and customer satisfaction,Netral,6.0,Detractor,4.0,4.0,Satisfied
T_00092,2024-10-03,Zoho Desk,3.0,4.0,Pros:We can very much customize our workflow.the integration is very reliable with product another great feature is its customer tracking/information.,pros we can very much customize our workflow the integration is very reliable with product another great feature is its customer tracking information,Positif,7.0,Passive,5.0,4.0,Satisfied
T_00520,2024-10-14,Zoho Desk,3.0,5.0,"Overall, its been a great software and meets the business use case well.",overall its been a great software and meets the business use case well,Positif,7.0,Passive,4.0,4.0,Satisfied
T_01797,2024-11-13,Zendesk,4.0,5.0,"Pros:It's very easy-to-use tool with tones of free great apps. By far, it has great usability. Also analytical tools are great.",pros itu sih very easy tapi use tool with tones of free great apps by far itu has great usability also analytical tools are great,Positif,9.0,Promoter,5.0,5.0,Satisfied
T_00430,2024-10-11,Freshdesk,4.0,5.0,We use Freshdesk daily. The platforms and other services we use with our educational site all use Freshdesk for their support ticket system. It ensures we have a great product as so many high powered companies trust and use the same platform.,we use freshdesk daily the platforms and other services we use with our educational site all use freshdesk for their support ticket system itu ensures we have a great product as sok many high powered companies trust and use the same platform,Positif,9.0,Promoter,5.0,5.0,Satisfied
T_02519,2024-11-28,Freshdesk,3.0,5.0,A very good entry point with a lot of features and a robust marketplace.,a very good entry point with a lot of features and a robust marketplace,Positif,5.0,Detractor,5.0,4.0,Satisfied
T_04498,2024-12-25,Zendesk,3.0,4.0,We're able to centralize our support structure and set parameters for good support and report on those metrics.,we re able tapi centralize our support structure and set parameters for good support and report on those metrics,Positif,8.0,Passive,5.0,5.0,Satisfied
T_02374,2024-11-25,Zoho Desk,4.0,5.0,Excelent solution for our it company . Is easy to make a correct follow of the tickets our customer open. Mobil app is a great tool,excelent solution for our itu company is easy tapi pakai a correct follow of the tickets our customer open mobil app is a great tool,Positif,8.0,Passive,4.0,5.0,Satisfied
T_04540,2024-12-26,Zoho Desk,3.0,4.0,"This is an useful application that do not require too much configuration to start working with.You do not to have any support email address in your mail server, Zoho desk allows you to create multiple support email accounts to support your customers or endusers.",this is an useful application that di not require too much configuration tapi start working with you di not tapi have any support email address ini your mail server zoho desk allows you tapi create multiple support email accounts tapi support your customers orang endusers,Netral,9.0,Promoter,4.0,4.0,Satisfied
T_04324,2024-12-23,Zoho Desk,4.0,4.0,"Since we have been trailing the paid version of the helpdesk we have found some very good features, I do like the way the reporting looks and the ability toexport the reports, one downside is that when you change the report filters then you are unable to export, another problem I find is when I have completed a ticket and closed it sometimes I have to press the back button several times to get back to the open tickets.",since we have been trailing the paid version of the helpdesk we have found some very good features i di like the way the reporting looks and the ability toexport the reports one downside is that when you change the report filters then you are unable tapi export another problem i find is when i have completed a ticket and closed itu sometimes i have tapi press the back button several times tapi get back tapi the open tickets,Netral,6.0,Detractor,4.0,3.0,Neutral
T_00466,2024-10-12,Freshdesk,4.0,5.0,"Pros:The support is amazing, anytime we need anything they are available to help quickly and with detailed replies.",pros the support is amazing anytime we need anything they are available tapi help quickly and with detailed replies,Positif,10.0,Promoter,5.0,5.0,Satisfied
T_04347,2024-12-23,Zendesk,2.0,4.0,"ZenDesk is a solid cloud-based tool and very good value for money.We operate it since 2015 and it doesn't give us many problems, we probably not using it to its full capacity as it is mostly used as a dispatch tool hooked up with online forms.",zendesk is a solid cloud based tool and very good value for money we operate itu since 2015 and itu doesn t give us many problems we probably not using itu tapi its full capacity as itu is mostly used as a dispatch tool hooked up with online forms,Positif,8.0,Passive,3.0,5.0,Satisfied
T_03059,2024-12-06,Freshdesk,2.0,4.0,"Missing emails, certain thread histories that aren't displayed, and they just Regarding the matter of filters in the beginning, there are times when it doesn't work effectively and some tickets don't appear even after I screen All entries and appropriately arrange them.",missing emails certain thread histories that aren t displayed and they just regarding the matter of filters ini the beginning there are times when itu doesn t work effectively and some tickets don t appear even after i screen all entries and appropriately arrange them,Netral,8.0,Passive,5.0,4.0,Satisfied
T_00460,2024-10-12,Freshdesk,4.0,5.0,"Pros:Freshdesk has been a breeze to set up and use effectively. My team loves how easy it is to quickly work through tickets. We heavily use Trello and their integration is top tier.When issues do come up, the support team is always available to answer my questions. Even when it doesn't support a particular workflow, I've always been given excellent suggestions to work around its limitations.",pros freshdesk has been a breeze tapi set up and use effectively my team loves how easy itu is tapi quickly work through tickets we heavily use trello and their integration is top tier when issues di come up the support team is always available tapi answer my questions even when itu doesn t support a particular workflow i ve always been given excellent suggestions tapi work around its limitations,Positif,9.0,Promoter,4.0,4.0,Satisfied
T_02512,2024-11-28,Freshdesk,4.0,5.0,"Freshdesk is most feasible for mid-sized companies. It also performs well with several large companies, however, it is probably not a good choice for large companies where blending with different apps and custom development is necessary. It is also ideal for small businesses and sole proprietorships, as they have very affordable free and paid plans. Even if you only have a 1-person helpdesk, having cases that are customized to a case management system, rather than using email, will make your existence much more convenient.",freshdesk is most feasible for mid sized companies itu also performs well with several large companies however itu is probably not a good choice for large companies where blending with different apps and custom development is necessary itu is also ideal for small businesses and sole proprietorships as they have very affordable free and paid plans even if you only have a 1 person helpdesk having cases that are customized tapi a case management system rather tahan using email will pakai your existence much more convenient,Positif,8.0,Passive,4.0,4.0,Satisfied
T_03028,2024-12-05,Jira Service Management,3.0,5.0,Pros:How easy it is to use. It has been easy for us to deploy and expand on campus.We have lot of users that are have commented on how easy it is to use over our old product.,pros how easy itu is tapi use itu has been easy for us tapi deploy and expand on campus we have lot of users that are have commented on how easy itu is tapi use over our old product,Positif,8.0,Passive,4.0,4.0,Satisfied
T_04767,2024-12-29,Freshdesk,3.0,5.0,"Due to our growth in business, it was getting very hard to keep track of all the support tickets on a spreadsheet. Freshdesk is an easy to use software with a clean interface and provides all the features required. Great platform to provide support to customers",due tapi our growth ini business itu was getting very hard tapi keep track of all the support tickets on a spreadsheet freshdesk is an easy tapi use software with a clean interface and provides all the features required great platform tapi provide support tapi customers,Positif,8.0,Passive,5.0,4.0,Satisfied
T_03327,2024-12-10,Zoho Desk,4.0,5.0,Overall we are enjoying with the Zoho desk features.We have configured it with our internal IT department for resolving ticketing of internal employees.,overall we are enjoying with the zoho desk features we have configured itu with our internal itu department for resolving ticketing of internal employees,Netral,9.0,Promoter,5.0,5.0,Satisfied
T_00969,2024-10-25,otrs,2.0,5.0,"Pros:You can manage your support tickets as you please.Merge issues, whatever the channel is: email, telephone support.And if you need some more juice, there is their API: integrate it with other systems like odoo or vTiger.Also, it helps you to manage billing hours, SLA, remaining support time for the customer.",pros you can manage your support tickets as you please merge issues whatever the channel is email telephone support and if you need some more juice there is their api integrate itu with other systems like odoo orang vtiger also itu helps you tapi manage billing hours sla remaining support time for the customer,Netral,8.0,Passive,4.0,4.0,Satisfied
T_00277,2024-10-07,Jira Service Management,5.0,5.0,"I liked jira , it really help me in my work",i liked jira itu really help me ini my work,Netral,9.0,Promoter,5.0,5.0,Satisfied
T_02214,2024-11-22,Zoho Desk,5.0,5.0,Good to use,good tapi use,Positif,8.0,Passive,5.0,5.0,Satisfied
T_01250,2024-11-02,Zendesk,2.0,4.0,Zendesk has made issue resolution possible across a broad company,zendesk has made issue resolution possible across a broad company,Netral,8.0,Passive,5.0,4.0,Satisfied
T_00325,2024-10-08,ServiceNow,3.0,5.0,"Best overall, have been effectively working with ITSM modules and working with Incidents, problems, change , catalog items .",best overall have been effectively working with itsm modules and working with incidents problems change catalog items,Positif,8.0,Passive,5.0,5.0,Satisfied
T_01850,2024-11-14,Zendesk,4.0,5.0,Most of our driver's inquiry are communicated through Zendesk so it greatly affect our business if we can't be able to use this tool. It's very essential to us.,most of our driver sih inquiry are communicated through zendesk sok itu greatly affect our business if we can t be able tapi use this tool itu sih very essential tapi us,Netral,7.0,Passive,5.0,5.0,Satisfied
T_04514,2024-12-25,Jira Service Management,4.0,4.0,Our company users jira service management software to handle the support services like IT.,our company users jira service management software tapi handle the support services like itu,Netral,7.0,Passive,5.0,5.0,Satisfied
T_03829,2024-12-16,Freshdesk,2.0,4.0,"The freshdesk made our company's tasks run faster and more efficiently, ending a major gap of lack of communication between teams.",the freshdesk made our company sih tasks run faster and more efficiently ending a major gap of lack of communication between teams,Netral,7.0,Passive,5.0,5.0,Satisfied
T_04320,2024-12-23,Zoho Desk,3.0,4.0,Pros:The most important thing it's to have all channels just with one platform and can make tracking to my support service.,pros the most important thing itu sih tapi have all channels just with one platform and can pakai tracking tapi my support service,Netral,9.0,Promoter,5.0,5.0,Satisfied
T_04800,2024-12-29,Zendesk,5.0,5.0,Pros:Easy to Manage and Integration with many third party services.,pros easy tapi manage and integration with many third party services,Positif,10.0,Promoter,5.0,5.0,Satisfied
T_02758,2024-12-02,Freshdesk,2.0,4.0,Its provided me with a proper format to which tickets can be logged. A new look at what is needed in a ticketing system and how much it can benefit a company.,its provided me with a proper format tapi which tickets can be logged a new look at what is needed ini a ticketing system and how much itu can benefit a company,Netral,7.0,Passive,4.0,4.0,Satisfied
T_04490,2024-12-25,Zendesk,5.0,5.0,Overall it was decent maybe not applicable in the veterinary setting but in other settings I can see it being very successful,overall itu was decent maybe not applicable ini the veterinary setting but ini other settings i can sih itu being very successful,Netral,3.0,Detractor,5.0,3.0,Neutral
T_03585,2024-12-13,Zoho Desk,5.0,4.0,"It helps in managing assets inventory, ticketing. It increase team efficiency to work with better trackability and meeting of SLA.",itu helps ini managing assets inventory ticketing itu increase team efficiency tapi work with better trackability and meeting of sla,Netral,8.0,Passive,4.0,4.0,Satisfied
T_03438,2024-12-11,Freshdesk,5.0,5.0,"Freshdesk is a great utility and platform for ticketing, ticket management, and support. We have enhanced our support standards with Freshdesk for local issues within the organization. We have categorized our Dev team to use Zendesk and our IT Team to use Fresh Desk to support more regular issues with staff devices.",freshdesk is a great utility and platform for ticketing ticket management and support we have enhanced our support standards with freshdesk for local issues within the organization we have categorized our dev team tapi use zendesk and our itu team tapi use fresh desk tapi support more regular issues with staff devices,Positif,9.0,Promoter,5.0,5.0,Satisfied
T_02471,2024-11-27,Freshdesk,4.0,4.0,Very good.,very good,Positif,9.0,Promoter,5.0,5.0,Satisfied
T_02504,2024-11-28,Zoho Desk,3.0,4.0,It seems like it might work for our business we did not have enough time to set up the page to see if it works to how we like it. they should make the free version free until it starts being used. I really only had enough time to see how it worked but not actually test it internally.,itu seems like itu might work for our business we did not have enough time tapi set up the page tapi sih if itu works tapi how we like itu they should pakai the free version free until itu starts being used i really only had enough time tapi sih how itu worked but not actually test itu internally,Netral,6.0,Detractor,4.0,4.0,Satisfied
T_02302,2024-11-23,Zendesk,4.0,4.0,"Pros:Zendesk is flexible and easy to deploy, and you can install it quickly and get started in minutes. It integrates all your main support channels to enable fast delivery and effortless tracking. Plus, the platform is supported by time-saving widgets for streamlined conversations, automation, sharing, ticket views, and triggers.",pros zendesk is flexible and easy tapi deploy and you can install itu quickly and get started ini minutes itu integrates all your main support channels tapi enable fast delivery and effortless tracking plus the platform is supported by time saving widgets for streamlined conversations automation sharing ticket views and triggers,Positif,8.0,Passive,4.0,5.0,Satisfied
T_03832,2024-12-16,Freshdesk,3.0,4.0,"It's been a learning experience for us. Overall, I think our service team is stronger as a result of FD, but I also think there is more we could be getting out of FD.",itu sih been a learning experience for us overall i think our service team is stronger as a result of fd but i also think there is more we could be getting out of fd,Netral,6.0,Detractor,4.0,4.0,Satisfied
T_02248,2024-11-22,Zendesk,2.0,4.0,Pros:As a human resource analyst it is my job to see to it that employees are happy and approach their Job with ease and that it is exactly especially the customer service representatives. This is exactly the impact zendex has on our company. It is very easy to use and very user friendly. Just love all the reporting it does provide. I will highly recommend.,pros as a human resource analyst itu is my job tapi sih tapi itu that employees are happy and approach their job with ease and that itu is exactly especially the customer service representatives this is exactly the impact zendex has on our company itu is very easy tapi use and very user friendly just love all the reporting itu does provide i will highly recommend,Positif,7.0,Passive,4.0,5.0,Satisfied
T_02520,2024-11-28,Freshdesk,3.0,4.0,"If you don't need dependent fields via freshdesk API and you can live with only sending mails to one recipient at a time, than I can unreservedly recommend freshdesk. In spite of all that, I like freshdesk because of it's ease to use and the fast responding support.",if you don t need dependent fields via freshdesk api and you can live with only sending mails tapi one recipient at a time tahan i can unreservedly recommend freshdesk ini spite of all that i like freshdesk because of itu sih ease tapi use and the fast responding support,Positif,7.0,Passive,4.0,4.0,Satisfied
T_02667,2024-12-01,Zoho Desk,4.0,4.0,"Pros:Zoho Desk provides a cloud solution to manage helpdesk tasks. I apreciate the Functionalities, the solution is easy to use . Il is scalable and can be started immadiately",pros zoho desk provides a cloud solution tapi manage helpdesk tasks i apreciate the functionalities the solution is easy tapi use il is scalable and can be started immadiately,Positif,7.0,Passive,5.0,5.0,Satisfied
T_02708,2024-12-01,ServiceNow,1.0,4.0,It has been a great journey with SNow so far and we use this on a everyday basis for our projects intake and regular tactical and enhancement requests.,itu has been a great journey with snow sok far and we use this on a everyday basis for our projects intake and regular tactical and enhancement requests,Positif,8.0,Passive,4.0,4.0,Satisfied
T_00117,2024-10-03,Jira Service Management,5.0,4.0,its a great experience using JIRA and I would recommend it to use .,its a great experience using jira and i would recommend itu tapi use,Positif,9.0,Promoter,5.0,5.0,Satisfied
T_02086,2024-11-18,otrs,3.0,4.0,Pros:OTRS is a powerfull and complete tool to help IT engenieers to assist customers and internal enterprise clients.,pros otrs is a powerfull and complete tool tapi help itu engenieers tapi assist customers and internal enterprise clients,Netral,7.0,Passive,3.0,5.0,Satisfied
T_03109,2024-12-07,Zoho Desk,4.0,4.0,Very good experience it is helping me grow my business efficiently.,very good experience itu is helping me grow my business efficiently,Positif,7.0,Passive,5.0,4.0,Satisfied
T_03678,2024-12-14,Freshdesk,4.0,5.0,I explored Freshdesk quite in-depth and was not only amazed by the availability of multiple features but also the comprehensive of all the available features. Its a commendable effort from the firm. Hope to see more and more features getting added in the future so that it can maintain its position as a one-stop solution for every possible need of a firm w.r.t. customer service.,i explored freshdesk quite ini depth and was not only amazed by the availability of multiple features but also the comprehensive of all the available features its a commendable effort from the firm hope tapi sih more and more features getting added ini the future sok that itu can maintain its position as a one stop solution for every possible need of a firm gue r t customer service,Netral,10.0,Promoter,4.0,5.0,Satisfied
T_04776,2024-12-29,Zendesk,4.0,4.0,"My overall experience with Zendesk Suite as a user for almost 4 years is excellent in email and chat channels. However, it needs upgrades for a better user and customer experience.",my overall experience with zendesk suite as a user for almost 4 years is excellent ini email and chat channels however itu needs upgrades for a better user and customer experience,Positif,3.0,Detractor,4.0,4.0,Satisfied
T_02413,2024-11-26,Zoho Desk,5.0,5.0,"Organization, clarity, easy management and happiness",organization clarity easy management and happiness,Positif,8.0,Passive,4.0,5.0,Satisfied
T_04660,2024-12-27,Jira Service Management,3.0,5.0,"JIRA Service provides the right communication, and it develops appropriate conversations for companies.",jira service provides the right communication and itu develops appropriate conversations for companies,Netral,7.0,Passive,5.0,5.0,Satisfied
T_00462,2024-10-12,Freshdesk,5.0,5.0,"It's a comprehensive bundle that allows us to answer any queries or concerns our clients may have. Using this program, we are better able to maintain satisfied clientele.",itu sih a comprehensive bundle that allows us tapi answer any queries orang concerns our clients mau have using this program we are better able tapi maintain satisfied clientele,Positif,8.0,Passive,4.0,4.0,Satisfied
T_04392,2024-12-24,Zoho Desk,4.0,4.0,Pros:Zoho Desk is a great tool that helps me organize the support for my company. We now work happier and our customers are happier as we answear faster!,pros zoho desk is a great tool that helps me organize the support for my company we now work happier and our customers are happier as we answear faster,Positif,8.0,Passive,5.0,5.0,Satisfied
T_00771,2024-10-20,Zendesk,4.0,4.0,Pros:- easy to learn the software without extensive training- straightforward to write and answer tickets in the system- the support team is fantastic! great experience with answering questions- love the tags feature,pros easy tapi learn the software without extensive training straightforward tapi write and answer tickets ini the system the support team is fantastic great experience with answering questions love the tags feature,Positif,6.0,Detractor,5.0,5.0,Satisfied
T_02229,2024-11-22,Freshdesk,5.0,4.0,"Freshdesk is a highly performing help desk solution, with a professional issue based team that gives utmost assistance. More so, Freshdesk has articulate ticketing process, very efficient and fair for the customers requests.",freshdesk is a highly performing help desk solution with a professional issue based team that gives utmost assistance more sok freshdesk has articulate ticketing process very efficient and fair for the customers requests,Netral,8.0,Passive,5.0,5.0,Satisfied
T_01122,2024-10-29,Zendesk,4.0,4.0,"Good reporting for support activities, easy to use for users, good custom field on ticket",good reporting for support activities easy tapi use for users good custom field on ticket,Positif,5.0,Detractor,4.0,4.0,Satisfied
T_00597,2024-10-16,Freshdesk,3.0,4.0,"It is a project management tool designed for teams, it very easy to use. It's also very affordable and a good software to start with",itu is a project management tool designed for teams itu very easy tapi use itu sih also very affordable and a good software tapi start with,Positif,8.0,Passive,4.0,5.0,Satisfied
T_02805,2024-12-03,Zoho Desk,3.0,4.0,It's positive and promising,itu sih positive and promising,Positif,6.0,Detractor,5.0,4.0,Satisfied
T_03052,2024-12-06,Zoho Desk,5.0,5.0,Pros:Works fantastically well and integrates into the rest of the Zoho suite seamlessly. To top it off the free tier is great as a basic tool.,pros works fantastically well and integrates into the rest of the zoho suite seamlessly tapi top itu off the free tier is great as a basic tool,Positif,9.0,Promoter,5.0,5.0,Satisfied
T_02923,2024-12-04,Zendesk,3.0,5.0,"The experience with Zendesk is very good, it has helped me to better organize the incidents, give them priority and also be able to obtain very good statistics to analyze the work of the team.",the experience with zendesk is very good itu has helped me tapi better organize the incidents give them priority and also be able tapi obtain very good statistics tapi analyze the work of the team,Positif,8.0,Passive,5.0,5.0,Satisfied
T_00075,2024-10-02,Jira Service Management,3.0,4.0,We've been using Jira for about 5 years now and we're still happy with the way it works. We've never had any real issues with it.,we ve been using jira for about 5 years now and we re still happy with the way itu works we ve never had any real issues with itu,Positif,8.0,Passive,3.0,4.0,Satisfied
T_01472,2024-11-07,Freshdesk,2.0,4.0,Within FreshDesk I solve technical problems for our clients here at Consult and Design. If there is an issue with a clients website an email will come into Freshdesk and here it will be dealt with as FreshDesk is our Support Central. I really enjoy using FreshDesk and use it daily with ease - great software.,within freshdesk i solve technical problems for our clients here at consult and design if there is an issue with a clients website an email will come into freshdesk and here itu will be dealt with as freshdesk is our support central i really enjoy using freshdesk and use itu daily with ease great software,Positif,8.0,Passive,5.0,5.0,Satisfied
T_03924,2024-12-17,Zendesk,2.0,3.0,"Pros:Zendesk makes it really easy to organize all requests no just in-house team but outside customers. Not a great fan of cloud base solutions but everyone is jumping on Virtual Servers and Cloud base solutions is like a force movement like me writing this review when Im just evaluating a solution and alternative to G Suites from Google. Workspace from Facebook calls my attention eventhou is also cloud base but is the closes in Features. Just like the Standalone version of Zendesk that we all learn too user the codes and independency of running the software on the local network overpasses any cloud base solution in my opinion. Automations and Macros are great working locally without the need of High bandwith which we can afford in USA but on other locations in the caribean is a luxury even for big business to have the bandwith we have. OOOOhh And what happens at hurricane season? when we had blackouts we still ran the Zendesk locally. An example of such dependency of cloud based systems is the Automations function doesn't flow in a similar way but are timed instead of instantaneous compare to local run version of the software. Macros allow you to update a ticket's tags, message, and other information with a click of a button. Zendesk has done a great job to make a ticketing system and keeping up the standard with the growing number of completion.",pros zendesk makes itu really easy tapi organize all requests no just ini house team but outside customers not a great fan of cloud base solutions but everyone is jumping on virtual servers and cloud base solutions is like a force movement like me writing this review when im just evaluating a solution and alternative tapi enggak suites from google workspace from facebook calls my attention eventhou is also cloud base but is the closes ini features just like the standalone version of zendesk that we all learn too user the codes and independency of running the software on the local network overpasses any cloud base solution ini my opinion automations and macros are great working locally without the need of high bandwith which we can afford ini usah but on other locations ini the caribean is a luxury even for big business tapi have the bandwith we have oh and what happens at hurricane season when we had blackouts we still ran the zendesk locally an example of such dependency of cloud based systems is the automations function doesn t flow ini a similar way but are timed instead of instantaneous compare tapi local run version of the software macros allow you tapi update a ticket sih tags message and other information with a click of a button zendesk has done a great job tapi pakai a ticketing system and keeping up the standard with the growing number of completion,Positif,3.0,Detractor,3.0,3.0,Neutral
T_03391,2024-12-10,Zendesk,3.0,4.0,Much better experience that Freshchat. I faced many problem with freshchat and zendesk just made it easier for installation and support,much better experience that freshchat i faced many problem with freshchat and zendesk just made itu easier for installation and support,Negatif,9.0,Promoter,5.0,5.0,Satisfied
T_03186,2024-12-08,Zoho Desk,5.0,5.0,I'm using it to Answering help desk for a self booking tool. Registering data and performing reporting to understand recurrence. Measuring client happiness.,i sama using itu tapi answering help desk for a self booking tool registering data and performing reporting tapi understand recurrence measuring client happiness,Netral,9.0,Promoter,5.0,5.0,Satisfied
T_03687,2024-12-14,Freshdesk,5.0,5.0,"Pros:This makes it very easy and convenient for us to work with all customers, vendors, new customers, sponsorships, warranties, general technical inquiries and beyond. We are a manufacturing facility that does provide our own warranty for complex automotive clutch systems. If we did not have Freshdesk, I can state we would not be a successful as we are now. We would be held back.",pros this makes itu very easy and convenient for us tapi work with all customers vendors new customers sponsorships warranties general technical inquiries and beyond we are a manufacturing facility that does provide our own warranty for complex automotive clutch systems if we did not have freshdesk i can state we would not be a successful as we are now we would be held back,Positif,9.0,Promoter,5.0,5.0,Satisfied
T_04535,2024-12-26,Zoho Desk,3.0,5.0,We can manage our internal process so well by using it.,we can manage our internal process sok well by using itu,Netral,6.0,Detractor,5.0,5.0,Satisfied
T_00697,2024-10-18,Zendesk,1.0,1.0,I've been using Zendesk for 3 years now and im content i had to downgrade my package because of the high price point but overall im happy using it!,i ve been using zendesk for 3 years now and im content i had tapi downgrade my package because of the high price point but overall im happy using itu,Positif,7.0,Passive,4.0,4.0,Satisfied
T_04759,2024-12-29,Zoho Desk,5.0,5.0,"Pros:The Dashboard helps my team organize themselves.The team is able to see their tasks, pending work and unassigned work that needs to be taken up.",pros the dashboard helps my team organize themselves the team is able tapi sih their tasks pending work and unassigned work that needs tapi be taken up,Netral,8.0,Passive,5.0,5.0,Satisfied
T_03065,2024-12-06,Freshdesk,4.0,5.0,It is a good ticketing software and has really boosted my customer support department.,itu is a good ticketing software and has really boosted my customer support department,Positif,7.0,Passive,5.0,4.0,Satisfied
